GameID,Name,Platform,Year_of_Release,Genre,Publisher,North America,European Union,Japan,Other,Developer
5155,NCAA Football 07,PSP,2006,Sports,Electronic Arts,0.34,0,0,0.03,EA Sports
5158,Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,Rising Star Games,0.16,0.12,0.06,0.03,Tri-Crescendo
5159,GoldenEye: Rogue Agent,GC,2004,Shooter,Electronic Arts,0.28,0.07,0,0.01,EA LA
5160,Need for Speed: The Run,PC,2011,Action,Electronic Arts,0.09,0.21,0,0.07,Black Box
5162,Dragon Ball Z: Infinite World,PS2,2008,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,Dimps Corporation
5163,Elite Beat Agents,DS,2006,Misc,Nintendo,0.3,0.03,0,0.03,iNiS
5165,ESPN X Games Skateboarding,PS2,2001,Sports,Konami Digital Entertainment,0.18,0.14,0,0.05,KCEO
5166,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0,0.03,Firaxis Games
5168,Castlevania: Order of Ecclesia,DS,2008,Platform,Konami Digital Entertainment,0.27,0.02,0.04,0.03,Konami
5171,Left 4 Dead 2,PC,2009,Shooter,Valve Software,0,0.32,0,0.04,Valve Software
5172,Green Day: Rock Band,Wii,2010,Misc,MTV Games,0.22,0.11,0,0.03,Harmonix Music Systems
5175,Star Fox: Zero,WiiU,2016,Shooter,Nintendo,0.17,0.1,0.07,0.03,PlatinumGames
5176,SAW,PS3,2009,Action,Konami Digital Entertainment,0.13,0.17,0,0.06,Zombie Studios
5178,Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,0.24,0.09,0.01,0.03,Ubisoft
5180,High Heat Major League Baseball 2004,PS2,2003,Sports,3DO,0.18,0.14,0,0.05,3DO
5181,Robots,PS2,2005,Action,Vivendi Games,0.18,0.14,0,0.05,Eurocom Entertainment Software
5182,NARC,PS2,2005,Shooter,Midway Games,0.18,0.14,0,0.05,Point of View
5184,Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games,0.12,0.02,0.21,0.01,Monolith Soft
5186,Bionic Commando,PS3,2009,Platform,Capcom,0.12,0.17,0.01,0.06,GRIN
5187,Monster Rancher 3,PS2,2001,Simulation,Tecmo Koei,0.11,0.09,0.14,0.03,Tecmo
5188,The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,0.18,0.14,0,0.05,Heavy Iron Studios
5189,Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games,0.06,0.04,0.23,0.03,"Bandai Namco Games, Artdink"
5192,Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,Nintendo,0.26,0.1,0,0.01,Pax Softonica
5193,Okage: Shadow King,PS2,2001,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04,Zener Works
5196,BlazBlue: Calamity Trigger,X360,2009,Fighting,PQube,0.21,0.08,0.04,0.03,Arc System Works
5200,NBA 2K6,XB,2005,Action,Take-Two Interactive,0.27,0.08,0,0.01,Visual Concepts
5205,Marvel Super Hero Squad,Wii,2009,Fighting,THQ,0.3,0.03,0,0.03,Blue Tongue Entertainment
5206,The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,Disney Interactive Studios,0.31,0.02,0,0.03,Traveller's Tales
5207,World's Scariest Police Chases,PS,2001,Racing,Activision,0.2,0.14,0,0.02,UDS
5211,MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,0.27,0.08,0,0.01,Day 1 Studios
5212,Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,0.17,0.01,0.16,0.02,TOSE
5216,Just Dance 2016,PS4,2015,Misc,Ubisoft,0.17,0.13,0,0.06,Ubisoft
5217,ESPN NFL Football,XB,2003,Sports,Sega,0.27,0.08,0,0.01,Visual Concepts
5219,Rapala Pro Fishing,PS2,2004,Sports,Zoo Digital Publishing,0.18,0.14,0,0.05,Activision
5222,Spider-Man: Shattered Dimensions,X360,2010,Action,Activision,0.24,0.08,0,0.03,Beenox
5224,TMNT,Wii,2007,Action,Ubisoft,0.3,0.03,0,0.03,Ubisoft Montreal
5225,Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,"RED Entertainment, Spike Chunsoft"
5227,Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0,0.05,Cattle Call
5231,Watch Dogs 2,XOne,2016,Action,Ubisoft,0.17,0.16,0,0.03,Ubisoft Montreal
5232,Tiger Woods PGA Tour 09,PSP,2008,Sports,Electronic Arts,0.07,0.18,0,0.1,Exient Entertainment
5235,Harry Potter and the Chamber of Secrets,XB,2002,Action,Electronic Arts,0.27,0.08,0,0.01,Eurocom Entertainment Software
5239,Arctic Thunder,PS2,2001,Racing,Midway Games,0.17,0.14,0,0.05,Inland Productions
5242,ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,0.2,0.12,0,0.03,Ubisoft
5245,Shrek,XB,2001,Platform,TDK Mediactive,0.25,0.1,0,0.01,Digital Illusions
5246,Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software,0.14,0.05,0.12,0.05,Vanillaware
5249,Wipeout 2048,PSV,2012,Racing,Sony Computer Entertainment,0.13,0.17,0,0.05,Studio Liverpool
5253,Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo,0.3,0.01,0.02,0.03,ITL
5257,Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,0.04,0.02,0.27,0.01,Sandlot
5258,Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0,0.03,Monolith Productions
5259,Suikoden V,PS2,2006,Role-Playing,Konami Digital Entertainment,0.08,0.06,0.19,0.02,Konami
5263,Tiger Woods PGA Tour 14,X360,2013,Sports,Electronic Arts,0.21,0.12,0,0.03,EA Tiburon
5268,LocoRoco 2,PSP,2008,Platform,Sony Computer Entertainment,0.21,0.09,0.01,0.04,SCE Japan Studio
5269,Football Manager Handheld 2010,PSP,2009,Sports,Sega,0,0.26,0,0.09,Sports Interactive
5271,Batman: Rise of Sin Tzu,PS2,2003,Action,Ubisoft,0.17,0.13,0,0.05,Ubisoft Montreal
5276,Worms: Open Warfare 2,DS,2007,Strategy,THQ,0.07,0.24,0,0.04,"Team 17, Two Tribes"
5278,Dark Void,PS3,2010,Action,Capcom,0.18,0.12,0,0.05,Airtight Games
5279,Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,0.2,0.11,0,0.05,Beenox
5282,NHL 2K10,Wii,2009,Sports,Take-Two Interactive,0.32,0.01,0,0.03,Take-Two Interactive
5283,Bloody Roar 3,PS2,2001,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04,Eighting/Raizing
5284,WWE Crush Hour,PS2,2003,Racing,THQ,0.17,0.13,0,0.04,Pacific Coast Power & Light
5285,Persona 2: Eternal Punishment,PS,2000,Role-Playing,Atlus,0.03,0.02,0.28,0.02,Atlus Co.
5286,Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.06,0.21,0.03,0.05,Deep Silver Dambuster Studios
5287,Assassin's Creed III,WiiU,2012,Action,Ubisoft,0.19,0.13,0,0.03,Ubisoft Quebec
5288,One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,Spike Chunsoft
